"","id","sampling_weight","demographic_gender","demographic_age","demographic_4_areas","demographic_8_areas","demographic_higher_education","behaviour_indoors_nonhouseholders","behaviour_close_contact","behaviour_quarantined","behaviour_unmasked","mask_wearing_cloth_mask","mask_wearing_disposable_mask","mask_wearing_certified_mask","mask_wearing_ffp2","mask_wearing_vizire","mask_wearing_none","mask_wearing_other","mask_wearing_reuse","intention_store","intention_public_transport","intention_indoor_meeting","intention_restaurant","intention_pa","automaticity_carry_mask","automaticity_put_on_mask","post_covid_maskwearing_if_reccd","inst_attitude_protects_self","inst_attitude_protects_others","inst_attitude_sense_of_community","inst_attitude_enough_oxygen","inst_attitude_no_needless_waste","norms_family_friends","norms_risk_groups","norms_officials","norms_people_present_indoors","aff_attitude_comfortable","aff_attitude_calm","aff_attitude_safe","aff_attitude_responsible","aff_attitude_difficult_breathing","barriers_nothing","barriers_money","barriers_forget_carry","barriers_forget_wear","barriers_group_pressure","barriers_medical_symptoms","barriers_skin","barriers_difficult_breathing","barriers_eyeglasses_fog","barriers_raspyvoice","barriers_headache","barriers_drymouth","barriers_earpain","barriers_general_uncomfy","barriers_other","effective_means_handwashing","effective_means_masks","effective_means_distance","effective_means_ventilation","risk_likely_contagion","risk_contagion_absent_protection","risk_severity","risk_fear_spread","risk_fear_contagion_self","risk_fear_contagion_others","risk_fear_restrictions","sdt_needs_autonomy_1","sdt_needs_competence_1","sdt_needs_relatedness_1","sdt_needs_autonomy_2","sdt_needs_competence_2","sdt_needs_relatedness_2","sdt_motivation_extrinsic1","sdt_motivation_amotivation_1","sdt_motivation_identified_1","sdt_motivation_introjected_1","sdt_motivation_extrinsic_2","sdt_motivation_introjected_2","sdt_motivation_amotivation_2","sdt_motivation_extrinsic_3","sdt_motivation_identified_2","sdt_motivation_identified_3","sdt_motivation_identified_4","sdt_motivation_amotivation_3","sdt_motivation_introjected_3","attention_check","vaccination_status_intention_self","vaccination_status_closeones","covid_tested","had_covid","demographic_risk_group","needprotection_before_shots","needprotection_after_1_shot","needprotection_after_2_shots","intention_store_recoded","intention_public_transport_recoded","intention_indoor_meeting_recoded","intention_restaurant_recoded","intention_pa_recoded","intention_composite","behaviour_indoors_nonhouseholders_recoded","behaviour_unmasked_recoded","behavior_composite","behavior_composite_recoded","intention_behavior_composite","demographic_educationType","demographic_ageGroups"
"1458",1458,2.06095859538844,2,"60+",2,6,0,5,4,2,4,0,1,1,0,0,0,0,4,1,4,3,3,4,0.166666666666667,0.166666666666667,4,0.5,0.5,0,0,0.166666666666667,0.5,1,0.666666666666667,1,0,0,0.333333333333333,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666666666667,1,1,0,0,0.166666666666667,0,0,1,0,4,5,1,5,5,5,1,1,7,1,1,1,1,1,3,3,2,1,1,1,1,5,3,1,2,1,4,6,0,0,2,2,0,4,0.214285714285714,0.214285714285714,0.0459183673469388,0.229591836734694,7.88520408163265,"Practical","60 or older"
"1459",1459,1.78413933008077,2,"30-39",1,3,1,5,4,2,4,1,1,1,0,0,0,0,4,1,1,3,2,4,1,1,4,1,1,1,1,0,1,0.333333333333333,1,1,0.5,1,0.833333333333333,1,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,3,5,5,1,4,3,4,1,3,7,1,1,1,7,1,1,1,2,4,1,3,5,2,1,2,1,6,7,0,0,2,1,0,3,0.214285714285714,0.214285714285714,0.0459183673469388,0.229591836734694,8.38520408163265,"Theoretical","Younger than 40"
"1460",1460,1.2015464738465,2,"40-49",3,8,1,3,2,2,3,0,1,0,0,0,0,0,2,1,4,2,2,4,0.666666666666667,0.833333333333333,1,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.142857142857143,0.285714285714286,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.166666666666667,4,5,4,3,4,4,2,2,6,5,1,5,1,1,6,5,4,1,4,1,3,5,3,1,2,1,1,1,0,0,1,1,0,2,0.785714285714286,0.5,0.392857142857143,1.96428571428571,8.01785714285714,"Theoretical","40 to 59"
"1461",1461,1.71305306833813,2,"40-49",4,6,0,6,5,2,5,0,1,1,0,0,0,0,3,1,4,1,4,4,0.666666666666667,1,2,0.833333333333333,1,0.666666666666667,0.333333333333333,0.666666666666667,1,1,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.833333333333333,0.833333333333333,1,1,0.142857142857143,0.428571428571429,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.166666666666667,3,4,4,4,4,4,2,1,6,4,2,3,1,1,6,7,7,1,2,1,3,2,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,10,"Practical","40 to 59"
"1462",1462,1.98307024148619,1,"40-49",1,7,1,5,5,2,5,0,1,0,1,0,0,0,4,1,1,2,2,4,0.333333333333333,0.666666666666667,1,0.5,0.666666666666667,0.5,1,0.666666666666667,1,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.833333333333333,0.833333333333333,0.833333333333333,1,0.142857142857143,0.285714285714286,0.5,0.5,0.5,0.666666666666667,0.333333333333333,3,3,4,4,4,4,7,1,6,6,1,6,1,5,6,7,6,1,6,1,3,3,3,2,2,1,1,3,0,0,1,1,0,2,0.214285714285714,0,0,0,9,"Theoretical","40 to 59"
"1463",1463,1.98307024148619,1,"40-49",1,2,1,5,4,2,3,0,0,1,0,0,0,0,3,1,1,1,2,2,1,1,1,1,1,0.666666666666667,1,0.666666666666667,1,1,1,1,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.166666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,0.428571428571429,0.857142857142857,0.333333333333333,0.833333333333333,0.5,1,0.166666666666667,4,5,4,5,4,5,1,1,7,2,1,3,1,1,6,7,7,1,5,1,1,4,3,2,2,1,1,3,0,0,0,1,1,2,0.214285714285714,0.5,0.107142857142857,0.535714285714286,8.73214285714286,"Theoretical","40 to 59"
"1464",1464,1.91982178196541,1,"50-59",3,6,1,6,3,2,4,0,1,0,0,0,0,0,2,1,4,3,4,4,0.5,0.5,3,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.166666666666667,0.333333333333333,0.5,0.5,0.833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,5,4,1,1,2,1,3,4,3,2,3,3,2,3,3,3,3,3,3,1,1,2,3,1,2,3,3,3,0,0,2,0,0,2,0,0.214285714285714,0,0,9,"Theoretical","40 to 59"
"1465",1465,1.98307024148619,1,"40-49",1,1,1,6,5,2,5,0,0,0,1,0,0,0,2,1,1,1,4,4,0.833333333333333,0.833333333333333,1,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.166666666666667,1,1,1,0.833333333333333,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.571428571428571,0.714285714285714,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.166666666666667,3,4,4,3,4,4,6,2,7,6,6,6,1,5,6,6,6,1,6,1,1,3,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,10,"Theoretical","40 to 59"
"1466",1466,2.47150130946635,2,"60+",4,8,0,6,5,2,5,0,1,0,0,0,0,0,4,1,4,4,4,4,1,1,3,0.666666666666667,1,0.5,0.5,0.5,1,1,1,1,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.285714285714286,1,1,1,1,0,3,4,4,3,4,4,1,1,7,7,1,4,1,1,7,7,7,1,7,1,2,4,3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,10,"Practical","60 or older"
"1467",1467,2.06095859538844,2,"60+",2,8,0,5,2,2,5,0,1,0,0,0,0,0,3,1,4,1,4,4,1,1,3,1,1,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.142857142857143,0.142857142857143,0.166666666666667,0.166666666666667,0,0,0,3,3,3,4,3,3,6,2,6,4,2,4,2,1,6,4,6,1,4,6,1,2,3,2,1,1,1,1,0,0,0,0,0,0,0.214285714285714,0,0,0,10,"Practical","60 or older"
"1468",1468,1.43814017664781,2,"18-29",4,6,0,4,3,2,3,1,1,0,0,0,0,0,2,2,1,3,2,3,0.333333333333333,0.5,4,0.5,0.833333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.833333333333333,1,1,0.833333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.166666666666667,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0.666666666666667,1,0.5,0.5,0.285714285714286,0.428571428571429,0.166666666666667,0.666666666666667,0.333333333333333,0.833333333333333,0.333333333333333,1,1,3,3,3,3,4,1,6,4,3,5,1,2,5,5,5,1,5,1,5,2,1,2,2,1,2,5,1,0,2,1,2,6,0.5,0.5,0.25,1.25,6.375,"Practical","Younger than 40"
"1469",1469,1.81162903942224,1,"30-39",3,6,1,6,4,2,3,1,0,0,0,0,0,0,5,2,4,4,3,4,0.166666666666667,0.5,4,0.833333333333333,0.833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,1,1,1,0.833333333333333,0.833333333333333,0.5,0.5,0.5,0.333333333333333,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0.666666666666667,0.666666666666667,0.833333333333333,0,0,0.5,0.166666666666667,0.333333333333333,0.833333333333333,1,3,5,1,1,5,3,1,1,3,1,2,1,2,1,3,3,1,2,2,1,1,3,2,1,1,1,3,4,1,0,0,2,0,3,0,0.5,0,0,8.5,"Theoretical","Younger than 40"
"1470",1470,2.86495500144438,1,"60+",4,7,0,4,3,2,4,0,1,0,0,0,0,0,2,1,4,1,1,4,0.833333333333333,0.833333333333333,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.166666666666667,0.166666666666667,0.5,0.833333333333333,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.285714285714286,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,4,4,4,4,4,4,2,6,6,2,2,6,1,2,6,6,6,1,5,2,1,5,1,1,3,2,2,3,0,0,0,0,0,0,0.5,0.214285714285714,0.107142857142857,0.535714285714286,9.73214285714286,"Practical","60 or older"
"1471",1471,1.2015464738465,2,"30-39",3,7,1,2,2,2,1,0,1,0,0,0,0,0,4,1,4,1,2,4,1,1,3,0.666666666666667,1,1,0.666666666666667,0.5,1,1,1,1,0.5,0.666666666666667,0.833333333333333,1,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.142857142857143,0.285714285714286,0.666666666666667,0.666666666666667,0.833333333333333,1,0.166666666666667,4,4,5,5,4,5,6,1,7,7,5,6,1,4,7,7,7,1,7,1,3,2,1,1,2,1,1,1,0,0,0,1,0,1,1,1,1,5,7,"Theoretical","Younger than 40"
